央视,#genre#
CCTV-1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225618/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8
CCTV-2财经,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV-3综艺,http://39.135.138.58:18890/PLTV/88888888/224/3221225647/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225647/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV-4中文国际,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8#http://183.207.249.6/PLTV/3/224/3221225534/index.m3u8
CCTV-5体育,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225622/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225755/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225752/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225633/index.m3u8
CCTV-5+体育赛事,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225649/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225706/index.m3u8
CCTV-6电影,http://183.207.249.9/PLTV/3/224/3221225548/2.m3u8
CCTV-7国防军事,http://39.135.138.58:18890/PLTV/88888888/224/3221225624/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225624/index.m3u8
CCTV-8电视剧,http://39.135.138.58:18890/PLTV/88888888/224/3221225635/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225631/index.m3u8
CCTV-9纪录,http://39.135.138.58:18890/PLTV/88888888/224/3221225626/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225626/index.m3u8#http://183.207.249.6/PLTV/3/224/3221225532/index.m3u8
CCTV-10科教,http://39.135.138.58:18890/PLTV/88888888/224/3221225627/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225627/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225636/index.m3u8
CCTV-11戏曲,http://39.135.138.58:18890/PLTV/88888888/224/3221225628/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12社会与法,http://39.135.138.58:18890/PLTV/88888888/224/3221225629/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225637/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225629/index.m3u8
CCTV-13新闻,http://39.135.138.58:18890/PLTV/88888888/224/3221225638/index.m3u8
CCTV-14少儿,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225640/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225639/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225640/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225640/index.m3u8
CCTV-15音乐,http://39.135.138.58:18890/PLTV/88888888/224/3221225641/index.m3u8
CCTV-17农村农业,http://39.135.138.58:18890/PLTV/88888888/224/3221225907/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225908/index.m3u8
CGTN,http://39.135.138.58:18890/PLTV/88888888/224/3221225645/index.m3u8
CCTV奥林匹克频道,http://39.135.138.58:18890/TVOD/88888888/224/3221226230/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226230/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221226230/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221226233/index.m3u8

卫视,#genre#
湖南卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225745/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225704/index.m3u8
浙江卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225744/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225703/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225703/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225703/index.m3u8
江苏卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225743/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225743/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225702/index.m3u8
北京卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225673/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225673/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225673/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225673/index.m3u8
东方卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225658/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225658/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225659/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225659/index.m3u8
安徽卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225737/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225737/index.m3u8
广东卫视,http://39.135.138.58:18890/PLTV/88888910/224/3221225742/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225742/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225742/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225701/index.m3u8
深圳卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225700/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225741/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225700/index.m3u8
辽宁卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225735/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225696/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225696/index.m3u8
山东卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225738/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225738/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225697/index.m3u8
天津卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225739/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225698/index.m3u8
重庆卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225734/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225734/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225692/index.m3u8
东南卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225657/index.m3u8
广西卫视,http://117.169.121.162:6610/PLTV/88888910/224/3221225731/index.m3u8
黑龙江卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225736/index.m3u8#http://39.135.138.58:18890/TVOD/88888888/224/3221225736/index.m3u8
湖北卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225699/index.m3u8
